German,English
chffffff ,chffffff
alex ,Alex
steckt ,plugged
jedenfalls ,in any case
schreit ,cries
tolle ,amazing
rüber ,over
tschüss ,bye
nennt ,is called
raum ,room
heiß ,hot
foto ,photo
kalt ,cold
paul ,paul
irgendetwas ,anything
weile ,while
bisher ,so far
minute ,minute
unbedingt ,absolutely
zug ,train
sekunden ,seconds
wofür ,for what
erzähl ,tell
nen ,nen
beweise ,proofs
nahm ,took
aller ,all
freut ,pleased
seele ,soul
schießen ,shoot
müde ,tired
dauert ,lasts
magst ,like
harry ,harry
brief ,letter
gelernt ,learned
sucht ,investigated
bekannt ,known
weitere ,Further
unfall ,accident
dahin ,then
kontrolle ,control
beispiel ,example
lady ,lady
dasselbe ,the same thing
herzen ,heart
schlagen ,beat
wütend ,angry
weise ,wise
damen ,Ladies
darin ,in this
gottes ,god
holt ,get
fehlt ,is missing
vorsicht ,Attention
heiße ,name is
beweisen ,to prove
gehabt ,had
zumindest ,at least
vermisst ,missing
hübsch ,pretty
kriegt ,gets
verbindung ,connection
tief ,deep
richtung ,direction
lage ,location
sowieso ,anyway
kraft ,force
normal ,normal
lauf ,run
ehre ,honor
stell ,Vice
geschenk ,gift
bar ,bar
tasche ,bag
gelesen ,read
gekauft ,Bought
wussten ,knew
gestohlen ,stolen
hunger ,hunger
leg ,leg
lügen ,lying
beziehung ,relationship
ben ,ben
verschwunden ,disappeared
steh ,stand
nächstes ,next
gearbeitet ,worked
preis ,price
witz ,joke
meinte ,said
liste ,list
geist ,ghost
neben ,Next
gesucht ,searched
firma ,company
süße ,sweet
rücken ,move
schrecklich ,dreadful
letzter ,last
verliebt ,in love
öffnen ,to open
redet ,talks
boot ,boat
seltsam ,strange
versteckt ,hidden
fürchte ,fear
verschwinde ,disappear
erwischt ,Caught
verkauft ,sold
tante ,aunt
erwarten ,expect
pferd ,horse
wunder ,wonder
sauer ,angry
vermutlich ,presumably
näher ,closer
major ,major
jung ,young
majestät ,majesty
aussehen ,look
ans ,ans
de ,de
and ,and
links ,Left
großes ,great
welches ,which
beschützen ,to protect
geboren ,born
erreichen ,to reach
punkt ,Point
kindern ,children
kirche ,church
verraten ,betray
selber ,himself
befehl ,command
colonel ,colonel
fährt ,moves
zieht ,attracts
geburtstag ,birthday
haut ,skin
wette ,bet
reich ,rich
sekunde ,second
fahre ,ride
schwöre ,swear
geredet ,spake
james ,james
madame ,madame
eigene ,own
zeiten ,times
traurig ,Sad
anruf ,Call
nachrichten ,news
frieden ,peace
karte ,map
güte ,quality
euren ,your
diesmal ,this time
schade ,a pity
persönlich ,personally
kriege ,wars
stirbt ,dies
bleibe ,stay
verändert ,changed
sonne ,Sun
lieb ,dear
nämlich ,namely
letztes ,last
bekam ,got
ruft ,calls
professor ,professor
gericht ,dish
nase ,nose
ewig ,forever
singen ,to sing
bank ,Bank
beschäftigt ,employed
computer ,computer
yeah ,yeah
toten ,kill
weihnachten ,Christmas
offensichtlich ,obviously
naja ,well
henry ,henry
gefühle ,emotions
fuß ,foot
show ,show
überraschung ,surprise
geheimnis ,secret
fbi ,fbi
kontakt ,Contact
gold ,gold
drogen ,drugs
regierung ,government
wein ,Wine
kriegst ,get
ermordet ,murdered
fotos ,photos
entfernt ,away
geschlafen ,slept
manche ,some
erledigen ,take care of
ran ,ran
gegenüber ,across from
schlaf ,sleep
lust ,lust
wunderschön ,beautiful
witzig ,funny
nick ,nick
zerstört ,destroyed
übrigens ,by the way
willen ,sake
heim ,home
richtigen ,right
deines ,yours
namens ,called
zeigt ,shows
geliebt ,loved
gehören ,belong
brachte ,brought
herrn ,Mr
blick ,view
besuch ,visit
schlechte ,bad
bewegen ,move
haare ,hair
antworten ,reply
präsident ,president
sagtest ,told
hoffnung ,hope
stecken ,stick
lebe ,live
rechts ,right
interessant ,Interesting
entscheiden ,decide
miteinander ,together
meint ,means
liebst ,love
indem ,by doing
bleibst ,stay
kümmere ,take care
wohnen ,live
weder ,neither
möglichkeit ,possibility
kaputt ,broken
bekomme ,get
flugzeug ,plane
vergangenheit ,past
anderer ,another
zweite ,second
armee ,army
jim ,jim
tee ,tea
entweder ,either
weiss ,White
don ,Don
detective ,detective
aufhalten ,stop
stellt ,provides
verspreche ,promise
überrascht ,surprised
sauber ,clean
hau ,hau
mark ,mark
schlag ,blow
sheriff ,sheriff
untertitel ,subtitle
setzt ,puts
frag ,question
vaters ,father
nervös ,nervous
gesellschaft ,society
verstecken ,hide
schuldig ,guilty
hals ,neck
schützen ,protect
besuchen ,visit
of ,of
passen ,fit
überleben ,to survive
erhalten ,receive
teilen ,share
gebäude ,building
schicksal ,fate
zeichen ,character
richter ,judge
besorgt ,concerned
küche ,kitchen
lief ,ran
vergnügen ,pleasure
wüsste ,know
volk ,people
lhr ,LHR
herausfinden ,find out
königin ,queen
soldaten ,soldiers
feiern ,to celebrate
situation ,situation
lag ,was
gelassen ,calmly
allerdings ,Indeed
soweit ,so far
gefahren ,hazards
verstand ,understanding
bord ,shelf
schönes ,beautiful
jimmy ,Jimmy
billy ,billy
angefangen ,started
lee ,lee
fühlst ,feel
bob ,bob
mussten ,had
rat ,advice
worauf ,whereupon
gebeten ,asked
tony ,tony
kamera ,camera
achtung ,Danger
lieutenant ,lieutenant
ganzes ,whole
schuhe ,Shoes
sarah ,sarah
glückwunsch ,congratulation
niemandem ,no one
gibst ,give
statt ,instead of
übernehmen ,take
gegend ,area
wald ,Forest
al ,al
la ,la
nimmst ,take
danny ,danny
erkennen ,detect
glas ,Glass
falsche ,false
verantwortlich ,responsible
jesus ,Jesus
stöhnt ,moans
herein ,in
kleid ,dress
zerstören ,to destroy
jawohl ,Yes sir
london ,London
gegessen ,eaten
abendessen ,dinner
gesetz ,law
gemeinsam ,together
geholfen ,helped
erster ,first
wohnt ,lives
schritt ,step
guck ,peep
nahe ,Near
aussieht ,looks
beginnen ,start
dachten ,thought
band ,tape
ungefähr ,approximately
aufgabe ,task
neun ,nine
furchtbar ,awful
drinnen ,indoors
zuvor ,before
charles ,charles
freue ,look
amerika ,America
übrig ,left
spur ,track
falschen ,false
sergeant ,sergeant
melden ,Report
helfe ,help
werfen ,throw
bill ,bill
haltet ,think
erinnert ,remind
hängt ,hangs
freude ,joy
ehemann ,husband
erschossen ,shot
verzeihen ,forgive
schwein ,pig
uh ,uh
monster ,monster
entschieden ,decided
mission ,mission
verdammten ,damned
brauch ,custom
gewusst ,know
vorne ,ahead
stopp ,stop
übel ,evil
schlampe ,slut
schöner ,more beautiful
adresse ,address
unsinn ,nonsense
messer ,knife
gesund ,healthy
respekt ,respect
pro ,Per
leisten ,Afford
davor ,before
richard ,Richard
bedeuten ,mean
ball ,ball
mitnehmen ,take
gespielt ,played
to ,to
schwierigkeiten ,difficulties
hälfte ,half
kannte ,knew
stehe ,am
maria ,Maria
planeten ,planet
schwanger ,pregnant
gruppe ,group
anna ,Ann
verhaftet ,arrested
deal ,deal
seines ,his
irgendwelche ,any
händen ,hands
versteht ,understood
drehen ,rotate
eis ,ice
danken ,to thank
erfolg ,success
zufrieden ,satisfied
schließen ,shut down
besorgen ,to get
wochenende ,weekend
worüber ,about what
stimmen ,voices
nehmt ,take
martin ,martin
m ,m
witze ,joking
beine ,legs
verbrechen ,crime
bericht ,report
nachts ,at night
eurer ,yours
prinzessin ,princess
schmerz ,pain
klingelt ,rings
position ,position
echte ,real
gleichen ,equal
fernsehen ,watch TV
wünsche ,Wishes
schließlich ,in the end
gefangen ,captured
schätzchen ,baby
seh ,seh
schwierig ,difficult
angebot ,offer
nah ,close
jane ,jane
gewartet ,waited
kümmert ,takes care
ring ,ring
rennen ,run
lied ,song
eier ,eggs
welchen ,which
sorry ,sorry
fantastisch ,fantastic
schaut ,looks
hielt ,held
falle ,cases
drink ,drink
insel ,island
dauern ,last
daher ,therefore
zufällig ,coincidentally
dorf ,Village
clark ,clark
bewegt ,emotional
mitten ,in the middle
bullen ,cops
feind ,enemy
einverstanden ,I Agree
neuer ,new
bauen ,to build
trägt ,wearing
hängen ,hang
freunden ,friends
deren ,their
halb ,half
verpasst ,lost
sprach ,spoke
leise ,quietly
armen ,poor
wusstest ,knew
fanden ,found
unternehmen ,Companies
träume ,dreams
schläft ,is sleeping
kostet ,costs
spiele ,games
unseres ,our
entlang ,along
johnny ,johnny
versprechen ,promise
tiere ,animals
freiheit ,freedom
verdienen ,to earn
aha ,Aha
unterhalten ,to chat
eingeladen ,invited
schaden ,damage
genannt ,called
beenden ,break up
ray ,ray
geändert ,changed
thomas ,Thomas
lächerlich ,ridiculous
geschlagen ,beaten
park ,park
schätzen ,estimate
männern ,men
t ,t
beginnt ,starts
ehren ,to honor
größte ,greatest
energie ,energy
fleisch ,flesh
besonderes ,special
besteht ,consists
reichen ,pass
robert ,Robert
zeitung ,newspaper
worum ,about what
nachgedacht ,thought
betrunken ,drunk
sowas ,like this
patienten ,patient
gespräch ,conversation
leiden ,Suffer
taxi ,taxi
tötet ,killing
see ,lake
unterschied ,difference
wind ,wind
singt ,sings
schreien ,scream
daniel ,Daniel
sahen ,saw
wand ,wall
bus ,bus
lhre ,Their
angriff ,attack
verhalten ,behavior
loch ,hole
interesse ,interest
treten ,to step
quatsch ,nonsense
trifft ,meets
polizist ,police officer
blumen ,flowers
neuigkeiten ,news
bringst ,bring
flasche ,bottle
rief ,cried
schuss ,shot
fassen ,take
meer ,sea
konntest ,could
schafft ,creates
maschine ,machine
spreche ,speak
bein ,leg
eddie ,eddie
bekommst ,get
verbringen ,spend
bücher ,Books
blöd ,stupid
frühstück ,breakfast
tommy ,tommy
meter ,meter
bilder ,images
aufpassen ,watch out
claire ,claire
dessen ,whose
muß ,got to
freuen ,looking forward
engel ,Angel
offenbar ,apparently
gelegenheit ,opportunity
fang ,fishing
lüge ,lie
ohren ,ears
au ,ouch
angetan ,done
beeil ,hurry
brechen ,break
brüder ,brothers
zeitpunkt ,time
keinem ,any
ecke ,corner
brücke ,bridge
druck ,print
mitgebracht ,brought
seufzt ,sighs
date ,date
haufen ,heap
oma ,granny
auftrag ,assignment
leer ,empty
entkommen ,escape
bobby ,Bobby
weißen ,white
lösung ,solution
wart ,serviceable
pause ,Break
irre ,crazy
gestellt ,posed
keller ,basement
gebrochen ,Broken
weinen ,cry
nutzen ,use
wünschen ,to wish
fragt ,asks
maul ,mouth
verantwortung ,responsibility
schloss ,lock
hut ,cap
lächeln ,smile
ryan ,ryan
reden ,talk
grad ,Degree
zweiten ,second
hinaus ,out
mitkommen ,come along
vorhin ,earlier
fahrt ,journey
gemeint ,meant
ernsthaft ,seriously
gebaut ,built
bombe ,bomb
hasst ,hates
versteh ,understand
kosten ,costs
zeige ,show
traf ,hit
eigenes ,own
haar ,hair
fragte ,asked
jason ,jason
operation ,surgery
befehle ,commands
schmerzen ,pain
erklärt ,explained
steve ,steve
dach ,"top, roof"
folge ,episode
gelaufen ,ran
schwarze ,black
dankbar ,grateful
gehirn ,brain
töte ,kill
mädels ,girls
mut ,courage
heilige ,saint
laura ,laura
tier ,animal
system ,system
mannes ,man
wahnsinn ,madness
nee ,nope
rose ,rose
club ,club
geschlossen ,closed
hintern ,butt
ist ,is
thema ,theme
fiel ,fell
gehalten ,held
dorthin ,there
urlaub ,vacation
steig ,sidewalk
vorwärts ,forward
überprüfen ,check
besseres ,better
beweis ,proof
baum ,tree
gebt ,give
funktionieren ,function
anscheinend ,apparently
lehrer ,teacher
hoffen ,to hope
bessere ,better
isst ,eats
nachmittag ,afternoon
risiko ,risk
chuck ,chuck
knast ,slammer
entschuldigt ,apologizes
gilt ,applies
held ,hero
daraus ,from that
erstes ,first
fräulein ,young lady
rachel ,rachel
prima ,great
brauchte ,needed
gewalt ,violence
dean ,dean
liebes ,dear
schaffst ,manage
nachdenken ,think
tor ,goal
erfahrung ,Experience
pläne ,plans
jagen ,to hunt
katze ,cat
runde ,round
deutsche ,German
schwanz ,tail
taten ,doings
lord ,lord
dringend ,urgent
commander ,commander
großvater ,grandfather
sommer ,summer
gezeigt ,shown
hinterlassen ,leave
gewissen ,conscience
getrunken ,drunk
wahre ,real
luke ,hatch
kunden ,Customers
kate ,cottage
zeugen ,testify
geplant ,planned
amanda ,amanda
erreicht ,reached
stören ,to disturb
stein ,stone
atmen ,to breathe
hose ,trousers
weiße ,white
sprichst ,speak
größer ,greater
schickt ,sends
city ,City
prinz ,prince
behandelt ,treated
tote ,dead
überlegen ,think
karten ,cards
it ,it
d ,d
restaurant ,restaurant
welchem ,wherein
roger ,roger
natur ,nature
carter ,carter
emily ,Emily
mami ,mommy
verschwindet ,disappears
lautet ,reads
streit ,dispute
küssen ,kiss
sprich ,speak
längst ,a long time ago
fängt ,catches
drüber ,about it
gingen ,went
erlaubt ,allowed
einzigen ,single
bad ,bath
schmeckt ,tastes
kugel ,Bullet
normalerweise ,usually
schwarzen ,black
rauf ,up
flug ,flight
beruhigen ,soothe
walter ,walter
halbe ,half
dan ,Dan
geschieht ,happens
einiges ,some
entdeckt ,discovered
morgens ,In the morning
schlechter ,worse
vollkommen ,completely
gelogen ,lied
verfolgt ,tracked
college ,college
weiteren ,more
chris ,chris
louis ,louis
eh ,eh
schwert ,sword
hunde ,dogs
steigen ,climb
verdammter ,fucking
dürfte ,might
riecht ,smells
labor ,laboratory
bat ,asked
tim ,Tim
arthur ,arthur
mindestens ,at least
fisch ,fish
eurem ,your
füße ,feet
stehst ,standing
erschießen ,shoot dead
kuchen ,cake
versuchte ,tried
zustand ,Status
wunsch ,wish
gäste ,Guests
erwähnt ,mentioned
farbe ,colour
van ,van
einigen ,some
zufall ,coincidence
garten ,garden
junger ,younger
autos ,cars
abgesehen ,apart
fair ,fair
vertraut ,familiar
koffer ,suitcase
hieß ,was called
kurs ,course
wirkt ,acts
idioten ,idiot
netter ,nice
seitdem ,since
angegriffen ,attacked
geschichten ,stories
wahnsinnig ,insane
ähnlich ,similar
lily ,lily
aufgeben ,give up
england ,England
entführt ,kidnapped
ms. ,ms.
mistkerl ,dirty swine
solchen ,such a
ner ,ner
geschossen ,shot
lager ,warehouse
besprechen ,discuss
reihe ,line
polizisten ,police officers
vogel ,bird
legt ,puts
strand ,Beach
amerikaner ,American
schwarz ,black
fern ,remote
fick ,fuck
scherz ,joke
san ,san
erzählte ,told
wichser ,wanker
jake ,jake
langweilig ,boring
womit ,by which
geschäfte ,shops
my ,my
kapiert ,Got it
nachher ,later
verlangt ,requires
schlägt ,beats
überzeugt ,convinced
irgendjemand ,anyone
rot ,red
soldat ,soldier
vorbereitet ,prepared
geschah ,happened
reisen ,to travel
termin ,meeting
gang ,gear
stehlen ,steal
rechte ,right
rache ,revenge
bemerkt ,noticed
frankreich ,France
stört ,disturbs
radio ,radio
beruhige ,calm down
pferde ,horses
vertrag ,contract
arbeitest ,work
dienst ,service
zählt ,counts
fragst ,ask
wesen ,being
bürgermeister ,mayor
emma ,emma
fluss ,flow
woran ,by which
geblieben ,remained
durcheinander ,confused
me ,me
ted ,ted
nette ,nice
test ,test
mister ,mister
dadurch ,thereby
direktor ,director
wichtiger ,more important
kevin ,Kevin
scott ,scott
karriere ,Career
akte ,file
erinnerung ,memory
großmutter ,grandmother
erzähle ,tell
lösen ,to solve
bravo ,Bravo
griff ,Handle
verfolgen ,follow
zweifel ,doubt
such ,search
sprache ,language
nerven ,annoy
officer ,officer
andy ,andy
langer ,longer
ziehe ,pull
entlassen ,dismiss
zweimal ,twice
abholen ,pick up
washington ,Washington
kollegen ,colleagues
doc ,doc
fass ,barrel
szene ,scene
robin ,robin
scheinen ,seem to be
bösen ,bad
schaffe ,create
pflicht ,mandatory
wache ,guard
neulich ,recently
beeilen ,hurry